id	isolate	species	BACT000001	BACT000002	BACT000003	BACT000004	BACT000005	BACT000006	BACT000007	BACT000008	BACT000009	BACT000010	BACT000011	BACT000012	BACT000013	BACT000014	BACT000015	BACT000016	BACT000017	BACT000018	BACT000019	BACT000020	BACT000021	BACT000030	BACT000031	BACT000032	BACT000033	BACT000034	BACT000035	BACT000036	BACT000038	BACT000039	BACT000040	BACT000042	BACT000043	BACT000044	BACT000045	BACT000046	BACT000047	BACT000048	BACT000049	BACT000050	BACT000051	BACT000052	BACT000053	BACT000056	BACT000057	BACT000058	BACT000059	BACT000060	BACT000061	BACT000062	BACT000063	BACT000064	BACT000065	rST (Ribosomal MLST)	genus (Ribosomal MLST)	species (Ribosomal MLST)	subspecies (Ribosomal MLST)	lineage (Ribosomal MLST)	sublineage (Ribosomal MLST)	other_designation (Ribosomal MLST)	notes (Ribosomal MLST)
23	KCTC 2190	Klebsiella aerogenes	3916	2949	2480	2556	2347	1958	2248	2101	2364	2037	1979	2191	2002	1712	2049	1620	1874	1810	33	1925	15	2959	2885	1526	2681	2258	2393	2255	2608	2176	2334	2282	1634	2306	2034	2075	48	2241	2239	2039	48	1899	1970	1993	1706	32	1376	N	1711	1699	1548	1446	N	44287	Klebsiella	Klebsiella aerogenes					
116	DSM 30104	Klebsiella pneumoniae	3577	89	63	74	53	61	52	3640	2162	54	38	1986	40	34	43	41	1694	39	34	57	31	81	70	70	54	54	64	53	93	3503	68	51	41	3764	40	41	49	73	64	46	48	64	47	59	43	33	28	N	41	45	32	43	N	19226	Klebsiella	Klebsiella pneumoniae					
331	DSM 15968	Klebsiella variicola	9106	86	7196	72	52	60	6728	43	56	53	37	53	39	33	42	40	39	39	33	56	31	80	69	71	53	53	63	53	91	56	66	50	40	48	39	41	48	72	63	46	47	3437	1589	58	42	32	38	N	41	44	32	43	N	19408	Klebsiella	Klebsiella variicola					
874	NBRC 105695	Klebsiella oxytoca	5631	4542	4076	4261	2528	3480	3936	3718	4019	2007	3585	2160	3612	1686	3587	3344	3290	3239	1679	2000	1471	4753	4705	4359	4303	3920	3979	3976	4161	3667	4055	3891	1942	3893	2034	3574	3518	3779	3909	3483	3601	5049	2071	8283	3105	32	28	N	3079	3134	1522	3072	N	65093	Klebsiella	Klebsiella oxytoca					
1472	01A030	Klebsiella quasipneumoniae	15653	3049	63	74	2449	60	52	1884	2122	54	1789	54	1794	34	2155	2026	1701	39	34	1752	31	3081	2583	70	2442	54	64	2019	2699	56	68	51	41	49	40	2147	1822	73	63	1841	48	64	1642	58	43	33	28	N	41	1515	32	43	N	52200	Klebsiella	Klebsiella quasipneumoniae					
1486	NBRC 105727	Raoultella ornithinolytica	4040	3036	2590	2663	2439	2202	2358	2204	4023	2145	2084	2294	2100	1810	2142	3358	1953	1891	1679	2000	1556	12279	3008	4362	2787	2373	2492	2367	2690	2253	2447	2392	2074	2409	2141	2150	2090	2241	2215	2121	2204	1991	2071	2076	1793	1626	1433	N	1793	1786	1628	1808	N	76053	Raoultella	Raoultella ornithinolytica					
1489	ATCC 33531	Raoultella planticola	13705	10256	9503	9833	2439	2202	2358	2204	4023	2145	8313	8394	2100	1810	2142	7299	6750	1891	1679	7302	1556	11232	3008	9914	9724	2373	2492	2367	9631	8446	9119	8383	7671	2409	2141	2150	2090	2241	2215	2121	2204	1991	1945	7715	1793	1626	1433	N	1793	1786	1628	1808	N	133118	Raoultella	Raoultella planticola					
2990	06D021	Klebsiella grimontii	28672	5682	5202	2528	5036	3481	3937	2077	4020	3643	4549	4900	3613	3206	2513	3355	3290	1647	3213	2000	3229	6055	5991	5504	5374	2233	6459	2231	5220	2357	2309	17669	4630	4940	4672	3575	1974	3780	3909	2015	2083	4246	4371	1972	1683	32	1376	N	1680	3134	1522	3909	N	84604	Klebsiella	Klebsiella grimontii					
3288	KPN1705	Klebsiella quasivariicola	4066	3048	63	72	53	2208	2348	44	2461	54	1815	2300	39	34	2156	2029	1694	39	1565	2011	31	3076	2583	2795	4184	54	2499	53	91	56	68	51	41	2137	39	41	49	2033	2336	46	47	1748	1642	58	42	33	28	N	41	1791	32	1808	N	65942	Klebsiella	Klebsiella quasivariicola					
4277	DSM 25444	Klebsiella michiganensis	16502	2929	2456	2528	2528	2110	2346	2077	2532	2007	1951	2160	2094	1686	2513	3355	1848	1647	1679	1901	1471	7828	2851	2668	2658	2233	10637	2231	2589	3669	2309	2261	1942	6285	2034	5741	1974	2217	2215	2015	2083	1876	1945	1972	1683	32	28	N	1680	1671	1522	1704	N	42312	Klebsiella	Klebsiella michiganensis					
8556	SB5857	Klebsiella africana	41582	4309	63	74	53	61	34843	44	3900	54	3507	54	40	34	2155	3203	1694	39	34	3262	31	3076	70	2438	2490	54	64	53	2336	56	68	3804	41	3766	40	41	49	3650	63	46	3514	1748	47	58	43	33	28	N	41	1791	32	43	N	101307	Klebsiella	Klebsiella africana					
8579	WCHKl090001	Klebsiella huaxiensis	35303	23327	20832	21884	19396	17118	19865	17866	20584	16973	17886	18634	17704	17249	17502	23374	15464	15497	15144	7301	11941	33357	23561	20897	21341	19860	20151	27539	21470	25962	28801	18306	17377	19382	17831	18346	16843	26233	3909	16308	16566	15804	16596	17092	14699	13241	28	N	1711	14626	44	14535	N	84802	Klebsiella	Klebsiella huaxiensis					
8628	NCTC13038	Raoultella terrigena	38800	18243	16591	32106	8723	7555	38202	14592	16511	14270	14480	8395	14267	5307	14466	13600	6751	6819	12646	13229	4163	20112	39478	17072	16962	8925	16650	8853	16970	15167	16529	15022	14554	8798	14894	14534	7503	8250	15271	13221	13332	31196	7503	14011	6416	32	1433	N	6251	3134	5723	6328	N	119899	Raoultella	Raoultella terrigena					
9164	TOUT106	Klebsiella indica	48985	41892	39635	44028	36827	31747	40451	36021	40394	34301	35930	37719	35958	35460	36397	31865	30174	30274	12	32374	25157	46323	46759	38889	40379	38354	41397	38141	41065	35230	39661	37096	35804	37852	36668	35464	34447	36328	39019	32641	31281	31484	32607	35102	29986	32	4846	N	28875	31924	3198	30539	N	122672	Klebsiella	Klebsiella indica					
9178	DSM 102253	Raoultella electrica	49363	26059	39897	26596	2439	2202	24544	21557	40699	21588	2084	23349	21760	21629	2142	19752	19087	1891	1679	7302	1556	46671	44609	24776	9724	23673	39592	2367	41369	21870	37920	2392	7671	23287	2141	2150	2090	2241	2215	2121	29841	18659	32840	7715	1793	15473	14796	N	1793	1786	1628	1808	N	123171	Raoultella	Raoultella electrica					
9214	SB6412	Klebsiella pasteurii	12830	2929	4077	2528	7955	3481	3937	2077	4020	3643	3584	2160	3613	3206	38023	1946	1848	3238	1679	2000	2584	13137	33504	4361	2658	3921	3980	3975	4162	3668	4056	3892	4630	7958	2034	3575	1974	3780	2215	2015	2083	3357	3499	3566	1683	32	1376	N	3080	1671	1522	3073	N	127229	Klebsiella	Klebsiella pasteurii					
9231	SB6411	Klebsiella spallanzanii	52483	43806	39630	44025	36822	31745	39951	3718	40389	34298	35928	39377	35956	35459	36396	33398	1848	1647	1679	7301	25156	46316	48781	40708	40374	38352	41392	39850	41058	35226	39659	37094	35803	37849	40	37042	34444	37929	3909	32640	31280	31482	32605	36661	4392	32	6122	N	28873	1786	1522	6328	N	140897	Klebsiella	Klebsiella spallanzanii					
